Rank,Zip Code,Population
290,78599,"34,580"
291,76013,"34,457"
292,76002,"34,402"
293,75701,"34,296"
294,77004,"34,197"
295,78717,"34,087"
296,78242,"34,084"
297,77351,"34,047"
298,78260,"34,038"
299,78210,"34,005"
300,78516,"33,963"
301,77477,"33,844"
302,75605,"33,730"
303,77017,"33,627"
304,75214,"33,621"
305,75232,"33,561"
306,76110,"33,505"
307,77515,"33,491"
308,77067,"33,420"
309,77301,"33,409"
310,76543,"33,350"
311,77536,"33,291"
312,77590,"33,272"
313,77803,"33,233"
314,78570,"33,221"
315,77047,"33,199"
316,77076,"33,171"
317,78217,"33,130"
318,77041,"33,053"
319,75229,"32,924"
320,77340,"32,826"
321,77096,"32,744"
322,75234,"32,728"
323,78602,"32,646"
324,77045,"32,627"
325,78705,"32,506"
326,76014,"32,460"
327,76020,"32,443"
328,76117,"32,438"
329,79720,"32,431"
330,76901,"32,419"
331,77038,"32,275"
332,79904,"32,148"
333,75038,"32,128"
334,75238,"31,953"
335,76705,"31,902"
336,75204,"31,860"
337,76548,"31,759"
338,75241,"31,749"
339,76140,"31,703"
340,79761,"31,566"
341,76053,"31,513"
342,75041,"31,451"
343,76092,"31,276"
344,77355,"31,164"
345,79706,"31,088"
346,76016,"31,008"
347,78653,"30,955"
348,75036,"30,925"
349,76182,"30,911"
350,78729,"30,907"
351,77530,"30,880"
352,76040,"30,787"
353,77053,"30,642"
354,78211,"30,556"
355,75110,"30,555"
356,78239,"30,482"
357,75604,"30,349"
358,79701,"30,348"
359,77566,"30,327"
360,76903,"30,312"
361,77016,"30,252"
362,75010,"30,129"
363,77532,"30,108"
364,77086,"30,071"
365,78418,"30,015"
366,77091,"30,008"
367,77357,"29,992"
368,78727,"29,991"
369,75208,"29,941"
370,76107,"29,929"
371,76401,"29,724"
372,77327,"29,710"
373,78754,"29,690"
374,76036,"29,594"
375,78750,"29,559"
376,77025,"29,539"
377,77630,"29,480"
378,78363,"29,415"
379,76240,"29,209"
380,76134,"29,208"
381,77706,"29,195"
382,77316,"29,191"
383,76049,"29,154"
384,77380,"29,095"
385,77904,"29,064"
386,75901,"28,979"
387,76087,"28,779"
388,75119,"28,765"
389 TIE,78023,"28,750"
389 TIE,76012,"28,750"
391,78617,"28,690"
392,77356,"28,689"
393,77033,"28,669"
394,79605,"28,611"
395,79932,"28,594"
396,76018,"28,553"
397,77833,"28,417"
398,76201,"28,415"
399,77018,"28,403"
400,77005,"28,310"
401,75702,"28,236"
402,78746,"28,017"
403,76114,"27,683"
404,77023,"27,676"
405,79106,"27,668"
406,78410,"27,623"
407,77039,"27,501"
408,75503,"27,361"
409,75181,"27,336"
410 TIE,75252,"27,310"
410 TIE,76712,"27,310"
412 TIE,77345,"27,274"
412 TIE,78332,"27,274"
414,78102,"27,271"
415,77071,"27,221"
416,77598,"27,184"
417,79601,"27,033"
418,78212,"27,020"
419,75048,"26,956"
420,79602,"26,933"
421,79934,"26,916"
422,79606,"26,810"
423,78738,"26,806"
424,75082,"26,801"
425,75092,"26,794"
426,79930,"26,787"
427,75455,"26,687"
428,75212,"26,673"
429,76209,"26,660"
430,76208,"26,598"
431,75180,"26,560"
432,75022,"26,543"
433,78633,"26,507"
434,78731,"26,506"
435,77022,"26,476"
436,75240,"26,442"
437,76132,"26,437"
438,77523,"26,370"
439,75088,"26,363"
440,75230,"26,335"
441,77021,"26,287"
442,77020,"26,252"
443,76052,"26,240"
444,76033,"26,174"
445,76708,"26,155"
446,79118,"25,963"
447,78724,"25,936"
448,79764,"25,871"
449,79072,"25,831"
450,77662,"25,789"
451,77545,"25,755"
452,77504,"25,748"
453,78238,"25,737"
454,76034,"25,717"
455 TIE,78259,"25,691"
455 TIE,76048,"25,691"
457,75766,"25,577"
458,78757,"25,547"
459,77061,"25,485"
460,78728,"25,359"
461,75482,"25,220"
462,75662,"25,153"
463,77043,"25,122"
464,76801,"25,081"
465,76126,"24,946"
466,78621,"24,919"
467,75146,"24,873"
468,76544,"24,872"
469,75090,"24,866"
470,75407,"24,864"
471,78702,"24,830"
472,75205,"24,804"
473,78737,"24,783"
474,77385,"24,771"
475,77062,"24,761"
476,75009,"24,737"
477,76109,"24,606"
478,77503,"24,582"
479,76148,"24,578"
480,77802,"24,571"
481,78566,"24,551"
482,76006,"24,547"
483,75160,"24,465"
484,77414,"24,345"
485,75460,"24,287"
486,76105,"24,277"
487,78411,"24,194"
488,75219,"24,100"
489,75253,"24,090"
490,75254,"24,047"
491,78380,"24,014"
492,78261,"23,992"
493,79603,"23,956"
494,76504,"23,916"
495,77054,"23,699"
496,77551,"23,686"
497,78222,"23,652"
498,77578,"23,444"
499,76710,"23,385"
500,77586,"23,364"
501,75094,"23,345"
502,77478,"23,276"
503,79413,"23,265"
504,75020,"23,184"
505,78624,"23,084"
506,78214,"23,077"
507,78114,"22,948"
508,75142,"22,870"
509,77006,"22,678"
510,77441,"22,665"
511,78148,"22,580"
512,77505,"22,548"
513,75159,"22,514"
514,77303,"22,502"
515,79015,"22,493"
516,77019,"22,475"
517,77550,"22,421"
518,79703,"22,257"
519,78703,"22,111"
520,76008,"22,091"
521,76082,"22,082"
522,77056,"22,062"
523,75039,"22,046"
524,79905,"21,953"
525,75803,"21,941"
526,77627,"21,896"
527,76115,"21,824"
528,75225,"21,703"
529,76011,"21,701"
530,77632,"21,657"
531,78734,"21,625"
532,76111,"21,591"
533,77657,"21,551"
534,78801,"21,435"
535,77026,"21,412"
536,75218,"21,355"
537,75771,"21,260"
538,77384,"21,259"
539,79407,"21,211"
540,78752,"21,178"
541,75116,"21,105"
542,75401,"21,087"
543,76086,"21,054"
544,75602,"21,024"
545,78015,"20,928"
546,78133,"20,835"
547,76009,"20,751"
548,76058,"20,702"
549,78747,"20,698"
550,76120,"20,518"
551,78612,"20,508"
552,78503,"20,444"
553,75409,"20,437"
554,76067,"20,420"
555,79119,"20,387"
556,76205,"20,365"
557,78224,"20,306"
558,79765,"20,155"
559,78644,"20,119"
560,76308,"20,028"
561,79902,"19,984"
562,78739,"19,898"
563,75964,"19,889"
564,77568,"19,819"
565,78374,"19,737"
566,78732,"19,653"
567,79065,"19,538"
568,77028,"19,506"
569,77048,"19,413"
570,77027,"19,386"
571,76528,"19,355"
572,75137,"19,352"
573,75134,"19,341"
574,76177,"19,320"
575,77013,"19,296"
576,76310,"19,279"
577,79110,"19,235"
578,77302,"19,165"
579,78735,"19,152"
580,76234,"19,147"
581,76574,"19,126"
582,77051,"19,077"
583,79935,"19,073"
584,77069,"19,054"
585,75235,"19,042"
586,76031,"18,996"
587,76104,"18,956"
588,76135,"18,939"
589,77002,"18,892"
590,75670,"18,855"
591,78654,"18,833"
592,75237,"18,823"
593,78382,"18,702"
594,79045,"18,634"
595,78620,"18,564"
596,77437,"18,529"
597,76541,"18,521"
598,75402,"18,412"
599,77318,"18,348"
600,78642,"18,347"
601,77868,"18,302"
602,77328,"18,297"
603,75965,"18,231"
604,77707,"18,214"
605,79714,"18,184"
606,77447,"18,145"
607,78584,"18,128"
